idade,genero,etnia,pcd,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
39,0,1,0,6,5,0,1,1,0,0,5
32,0,1,0,13,4,2,0,0,2,0,2
53,0,0,0,6,5,0,5,0,0,0,3
27,0,0,0,12,5,1,6,0,4,3,0
46,1,0,0,13,5,0,4,0,5,0,3
32,1,1,0,5,5,4,3,0,4,1,6
21,0,1,0,24,5,1,1,0,2,3,4
31,1,0,0,20,4,5,0,0,0,0,3
33,0,0,0,24,5,3,0,0,4,1,4
30,1,1,0,4,5,1,6,1,2,1,6
25,1,1,0,18,5,3,0,0,2,3,4
33,0,0,0,20,5,3,1,0,1,2,5
31,0,0,0,24,5,2,2,1,6,1,3
24,0,3,0,11,4,2,1,0,2,2,7
35,1,1,0,24,4,7,1,0,2,1,7
28,0,0,0,24,4,2,2,0,1,1,4
31,0,1,0,14,5,1,1,1,5,0,1
29,0,0,0,10,6,1,1,0,6,1,4
28,0,0,0,12,4,2,0,0,3,0,3
26,1,0,0,24,4,3,2,0,4,1,1
37,0,0,0,24,5,2,1,0,4,1,2
33,0,0,0,24,4,3,1,0,4,2,5
26,0,0,0,15,4,0,1,0,4,1,6
46,1,0,0,18,5,0,6,0,8,2,2
34,0,1,0,24,5,1,6,1,6,2,2
27,1,1,0,12,4,1,2,0,7,0,0
25,1,1,0,24,5,0,6,0,2,3,10
27,1,2,0,7,4,0,1,0,0,1,3
24,1,1,0,12,4,0,1,0,5,1,6
25,0,0,0,24,4,3,1,0,4,0,0
26,0,1,0,12,5,1,1,1,1,2,1
27,0,1,0,15,5,2,0,0,10,3,2
29,0,2,0,12,4,3,0,0,1,3,4
33,0,0,0,24,5,3,4,0,5,3,3
24,1,0,0,6,4,7,2,0,6,1,4
25,0,0,0,15,5,2,0,0,4,0,4
27,0,0,0,24,5,3,0,0,1,0,7
26,0,0,0,20,4,0,1,0,5,1,4
31,0,2,0,20,5,3,1,0,10,0,0
32,0,1,0,4,4,3,2,2,1,1,4
40,1,1,0,4,5,1,4,0,2,3,8
29,0,0,0,18,4,0,3,0,8,1,6
35,0,1,0,20,5,3,6,0,4,1,6
32,0,0,0,24,4,0,3,0,1,1,3
18,0,1,0,15,5,1,2,0,5,3,10
29,0,0,0,6,4,0,5,0,1,3,0
24,0,2,0,24,5,6,0,0,4,1,1
24,0,5,0,18,5,0,0,0,0,0,3
46,0,0,0,15,4,3,1,0,3,1,5
29,0,0,0,12,4,0,4,0,9,0,10
30,1,0,0,14,4,4,1,0,8,0,0
37,1,0,0,17,6,1,1,0,2,1,0
28,0,0,0,11,6,0,1,0,8,1,5
40,0,0,0,14,5,2,1,0,10,1,1
28,0,1,0,24,4,0,1,0,7,0,0
30,0,0,0,24,4,2,1,0,2,2,7
34,1,1,0,6,5,0,6,1,2,2,7
33,0,5,0,5,4,6,2,0,4,1,1
28,0,0,0,24,4,0,4,0,4,3,9
34,0,2,0,12,4,0,1,0,10,0,4
31,0,0,0,15,5,3,1,0,2,3,7
30,1,1,0,24,6,3,3,0,11,3,0
39,0,0,0,24,5,0,6,0,2,2,10
26,0,0,0,18,6,5,1,0,10,1,2
39,0,1,0,18,5,0,1,0,3,2,8
31,0,1,0,12,5,0,2,0,1,0,2
30,0,2,0,12,5,0,1,0,3,0,1
38,0,1,0,12,5,0,4,0,4,2,1
48,0,1,0,24,5,0,2,0,3,1,7
28,0,0,0,20,5,0,1,0,1,3,1
27,1,0,0,18,5,3,1,0,4,3,10
26,1,0,1,24,4,0,1,0,0,0,4
33,0,1,0,10,6,0,3,0,0,3,1
28,1,0,0,24,4,8,1,0,7,3,1
39,0,1,0,24,6,1,6,0,3,1,2
31,1,0,0,12,4,0,6,0,2,2,3
25,0,1,0,24,5,2,1,0,12,0,1
43,0,0,0,4,6,6,6,0,4,1,3
35,0,0,0,24,4,2,2,1,9,0,0
44,1,0,0,24,5,5,5,0,1,1,1
31,1,0,0,24,6,0,1,0,5,1,4
43,0,0,0,18,5,0,6,0,3,1,4
34,0,4,0,23,5,0,6,0,0,0,0
32,0,1,0,18,4,0,0,0,4,3,7
48,0,0,0,15,5,0,1,0,2,2,3
29,1,3,0,15,6,1,2,1,1,1,0
33,0,0,0,24,5,0,6,0,4,3,4
33,1,0,1,24,4,8,3,0,11,1,0
26,1,0,0,24,5,2,1,0,11,0,2
50,0,0,0,20,5,0,1,0,6,1,2
28,1,1,0,12,6,0,4,0,7,0,0
22,0,1,0,7,4,2,1,0,3,0,1
31,1,1,0,15,5,1,3,2,4,1,1
37,1,0,0,15,5,2,0,0,6,2,8
30,0,1,0,18,6,6,1,0,4,3,7
36,1,2,0,18,5,3,6,0,3,1,10
30,0,0,0,24,4,3,2,0,1,3,10
40,0,3,0,24,5,0,6,0,4,1,4
51,1,0,0,24,4,3,6,0,4,2,4
27,0,1,0,16,5,2,1,0,4,3,3
29,0,0,0,24,6,3,0,0,4,3,1
32,1,0,0,24,5,0,6,0,7,1,5
29,0,0,0,12,4,8,6,0,4,2,4
24,0,0,0,24,5,1,5,0,3,1,2
31,1,1,0,24,5,3,2,0,3,2,5
26,0,0,0,18,4,8,3,0,4,3,10
31,1,2,0,18,5,3,3,1,1,1,6
44,0,3,0,24,5,0,6,8,7,1,3
28,0,0,0,23,4,2,1,0,3,1,2
33,0,1,0,21,5,0,4,0,4,3,1
39,0,1,0,18,5,8,1,0,2,3,4
25,1,0,0,24,4,5,2,0,7,0,1
28,0,0,0,24,4,2,1,0,6,0,3
31,0,0,0,15,5,2,3,0,4,1,1
20,0,1,0,24,4,7,1,2,10,0,1
25,0,2,0,12,4,2,1,0,0,3,0
24,0,1,0,24,5,2,1,0,0,2,2
30,1,0,0,12,4,8,1,0,4,1,9
27,0,2,0,15,4,3,0,0,5,0,1
26,0,0,0,18,4,2,1,0,2,3,4
22,0,1,0,14,5,2,1,0,1,0,1
30,0,2,0,24,5,0,6,0,1,1,1
32,0,0,0,12,4,2,0,0,4,3,2
37,1,0,0,18,6,8,0,0,5,2,6
31,0,0,0,24,4,0,6,0,7,2,5
27,0,1,0,24,6,0,2,0,5,0,4
31,0,1,0,16,6,1,1,0,3,1,2
27,0,0,0,20,6,0,3,0,3,0,0
33,0,0,0,19,5,8,2,0,4,2,4
23,0,0,0,25,4,2,0,0,11,1,4
22,0,2,0,24,4,0,0,0,4,1,4
42,0,2,0,24,5,0,0,0,2,3,3
25,0,0,0,24,4,2,2,1,10,0,0
26,0,0,0,24,5,2,2,0,0,0,3
34,0,0,0,17,5,0,3,1,3,0,7
36,1,5,0,10,4,4,2,0,5,0,0
21,1,1,0,23,4,3,1,0,5,1,6
29,1,1,0,24,5,0,6,0,4,1,4
29,0,0,0,12,4,0,4,0,11,1,4
27,1,1,0,24,5,0,6,0,4,1,7
25,0,1,0,24,4,3,1,0,11,2,7
30,0,1,0,24,5,2,1,0,3,1,1
25,0,0,0,18,4,0,0,0,11,2,4
29,0,1,0,4,5,0,1,0,6,1,2
24,0,0,0,15,4,2,1,0,3,0,4
24,0,0,0,24,5,0,5,1,3,2,2
31,0,0,0,24,4,2,1,0,0,0,0
36,0,0,0,6,5,0,6,0,7,2,2
31,0,1,0,12,4,3,1,0,2,0,8
33,0,0,0,24,5,2,3,1,5,0,1
47,1,2,0,24,4,8,1,0,11,0,1
22,0,2,0,18,4,0,1,0,2,0,1
26,0,0,0,7,5,1,3,0,8,1,1
26,0,1,0,19,4,2,0,0,0,0,6
39,0,0,0,24,5,3,3,0,2,2,8
30,0,1,0,4,4,3,1,0,3,1,3
30,0,1,0,24,4,0,0,0,8,1,0
31,1,0,0,23,4,8,2,0,5,1,10
41,0,0,0,24,4,3,1,0,4,2,5
37,1,3,0,24,4,0,1,0,0,1,2
26,1,0,0,18,6,1,1,0,7,0,0
32,0,0,0,24,5,3,4,1,10,0,1
30,0,0,0,16,5,0,0,0,6,2,0
28,1,0,0,12,4,7,1,0,2,3,5
24,0,1,0,24,4,0,1,0,6,0,4
32,1,0,0,24,6,4,0,1,3,1,1
34,0,0,0,24,4,2,1,0,1,0,0
44,1,2,0,20,5,2,0,1,11,2,0
26,0,0,0,16,6,2,1,0,2,0,5
31,1,2,0,4,5,0,1,0,1,3,1
34,0,3,0,24,4,2,1,0,8,1,2
41,0,0,0,24,5,5,6,1,7,1,3
31,0,0,0,24,4,0,3,0,1,1,3
39,1,2,0,12,5,1,6,0,2,1,1
29,0,0,0,24,4,3,3,2,0,1,4
36,1,2,0,18,6,2,1,0,4,0,0
22,1,1,0,24,6,6,1,0,3,1,6
28,0,2,0,12,4,1,1,1,7,0,1
29,1,0,0,20,5,1,1,0,2,2,7
31,0,1,0,24,4,2,2,1,12,0,1
26,0,0,0,24,4,2,1,0,8,0,4
32,0,0,0,12,6,2,1,0,2,2,1
25,1,1,0,16,4,0,2,0,6,0,3
33,0,0,0,24,5,8,4,8,5,0,10
33,0,0,0,15,5,0,6,0,2,3,8
29,0,0,0,12,5,0,1,2,3,3,4
25,0,0,0,24,4,0,0,0,4,1,1
33,0,0,0,15,4,3,4,0,2,2,10
24,0,0,0,23,4,2,0,0,5,2,5
34,0,0,0,12,5,2,0,0,2,0,6
32,0,1,0,15,5,3,1,0,2,0,1
46,1,0,1,24,5,2,1,0,11,0,2
34,0,0,0,12,4,8,3,0,3,2,4
42,0,0,0,23,4,0,3,0,1,3,0
21,0,0,0,24,4,3,1,0,5,0,4
32,0,3,0,18,4,2,1,0,1,1,4
36,0,0,0,7,4,0,1,0,7,1,2
39,0,0,0,7,5,0,6,0,0,0,3
41,0,0,0,24,6,0,1,0,5,2,5
31,1,0,0,24,5,8,4,1,5,3,10
35,0,0,0,6,5,3,2,0,5,1,5
29,0,2,0,15,5,3,0,0,4,1,1
26,1,0,0,24,4,0,0,0,0,1,0
24,0,2,0,24,5,0,1,0,1,0,10
29,0,1,0,1,5,3,1,2,2,1,1
21,0,0,0,24,5,3,1,0,10,0,2
33,0,0,0,15,5,0,3,1,4,1,2
29,1,1,0,12,4,2,1,0,13,0,1
30,0,0,0,24,5,0,1,0,7,0,1
32,0,0,0,17,6,0,1,1,5,1,1
26,0,0,0,8,4,0,1,0,0,3,2
34,1,1,0,24,5,0,6,0,4,3,5
34,1,1,0,20,5,3,3,0,4,1,10
20,0,0,0,12,6,0,1,0,11,3,0
22,0,1,0,24,4,2,0,0,4,1,4
45,0,1,0,24,5,3,2,0,3,2,3
24,0,0,0,24,5,2,2,0,1,0,0
26,1,1,0,24,4,2,1,0,0,0,1
26,1,0,0,20,4,3,1,0,12,0,0
27,0,0,0,12,4,2,1,0,10,1,7
34,0,1,0,24,5,2,1,0,12,0,1
31,0,0,0,24,4,2,0,0,2,0,3
50,0,0,0,24,5,0,6,0,6,1,2
27,0,1,0,24,4,3,1,0,1,1,4
34,0,1,0,4,6,3,0,0,2,0,1
23,0,2,0,24,5,2,4,0,11,0,0
45,0,0,0,12,5,1,6,2,3,2,2
33,0,0,0,24,4,0,6,0,6,0,3
21,0,0,0,23,4,2,0,0,5,2,5
30,0,0,0,24,5,2,1,0,8,1,10
26,1,0,0,12,4,8,0,0,2,1,4
35,0,3,0,20,4,3,1,0,1,3,7
27,0,0,0,15,5,5,0,0,2,2,10
31,0,0,0,24,4,0,1,0,2,2,10
30,0,0,0,24,5,0,5,0,2,3,5
40,1,0,0,16,4,0,0,2,6,2,5
24,1,0,0,24,4,0,1,0,14,0,0
