idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
39.0,masculino,parda,0,True,distritofederal(df),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,r,"postgresql,oracle,mysql,sqlserver",amazonwebservices(aws),dba/administradordebancodedados
53.0,masculino,branca,0,True,distritofederal(df),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"postgresql,mysql,oracle,db2",amazonwebservices(aws),desenvolvedor/engenheirodesoftware/analistadesistemas
27.0,masculino,branca,0,True,minasgerais(mg),doutoradoouphd,estatistica/matematica/matematicacomputacional/cienciasatuariais,de4a6anos,python,googlebigquery,naoseiopinar,cientistadedados/datascientist
46.0,feminino,branca,0,True,para(pa),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,naotenhoexperiencianaareadedados,python,microsoftaccess,amazonwebservices(aws),desenvolvedor/engenheirodesoftware/analistadesistemas
32.0,feminino,parda,0,True,ceara(ce),pos-graduacao,cienciasbiologicas/farmacia/medicina/areadasaude,naotenhoexperiencianaareadedados,python,googlebigquery,googlecloud(gcp),professor
21.0,masculino,parda,0,True,saopaulo(sp),estudantedegraduacao,estatistica/matematica/matematicacomputacional/cienciasatuariais,de1a2anos,python,sqlserver,naoseiopinar,analistadebi/bianalyst
31.0,feminino,branca,0,True,riograndedosul(rs),graduacao/bacharelado,cienciassociais,menosde1ano,python,"postgresql,sqlite,amazonathena",amazonwebservices(aws),desenvolvedor/engenheirodesoftware/analistadesistemas
33.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,economia/administracao/contabilidade/financas/negocios,menosde1ano,python,googlebigquery,googlecloud(gcp),analistadebi/bianalyst
,feminino,parda,0,True,bahia(ba),pos-graduacao,estatistica/matematica/matematicacomputacional/cienciasatuariais,maisde10anos,r,sqlserver,googlecloud(gcp),professor
25.0,feminino,parda,0,True,riodejaneiro(rj),estudantedegraduacao,economia/administracao/contabilidade/financas/negocios,menosde1ano,python,sqlserver,naoseiopinar,analistadebi/bianalyst
33.0,masculino,branca,0,True,riograndedosul(rs),pos-graduacao,economia/administracao/contabilidade/financas/negocios,de1a2anos,python,"mysql,postgresql,sqlserver",azure(microsoft),analistadeinteligenciademercado/marketintelligence
24.0,masculino,amarela,0,True,matogrossodosul(ms),graduacao/bacharelado,outrasengenharias,de1a2anos,python,"sqlserver,hive,postgresql,splunk,databricks",azure(microsoft),analistadenegocios/businessanalyst
35.0,feminino,parda,0,True,saopaulo(sp),graduacao/bacharelado,marketing/publicidade/comunicacao/jornalismo,de1a2anos,python,sqlserver,googlecloud(gcp),analistadenegocios/businessanalyst
28.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de3a4anos,python,"mysql,oracle,googlebigquery",googlecloud(gcp),analistadebi/bianalyst
28.0,masculino,branca,0,True,minasgerais(mg),graduacao/bacharelado,outrasengenharias,menosde1ano,python,"oracle,mongodb,postgresql,databricks,hive",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
