idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,cloud_preferida,cargo,sql,nosql
39.0,2,1,1,1,6,1,9,7,1,4,-1,4,0
53.0,2,4,1,1,6,1,9,1,5,4,6,4,0
27.0,2,4,1,1,12,1,3,3,5,2,1,1,0
46.0,1,4,1,1,13,1,9,6,5,4,6,1,0
32.0,1,1,1,1,5,1,7,6,5,1,-1,1,0
21.0,2,1,1,1,24,2,3,7,5,2,3,1,0
31.0,1,4,1,1,20,3,8,2,5,4,6,2,1
33.0,2,4,1,1,24,1,2,2,5,1,3,1,0
,1,1,1,1,4,1,3,4,1,1,-1,1,0
25.0,1,1,1,1,18,2,2,2,5,2,3,1,0
33.0,2,4,1,1,20,1,2,7,5,3,-1,3,0
24.0,2,3,1,1,11,3,1,7,5,3,5,2,3
35.0,1,1,1,1,24,3,5,7,5,1,5,1,0
28.0,2,4,1,1,24,3,1,1,5,1,3,3,0
28.0,2,4,1,1,12,3,1,2,5,4,2,2,3
26.0,1,4,1,1,24,3,2,1,5,1,11,1,0
26.0,2,4,1,1,15,3,9,7,5,1,-1,1,1
46.0,1,4,1,1,18,1,9,4,5,3,2,6,2
27.0,1,1,1,1,12,3,3,1,5,4,1,2,3
25.0,1,1,1,1,24,2,9,6,5,2,4,1,0
27.0,1,2,1,1,7,3,9,7,5,1,6,3,0
25.0,2,4,1,1,24,3,2,7,5,4,1,1,0
26.0,2,1,1,1,12,2,3,7,1,3,11,1,0
27.0,2,1,1,1,15,1,1,2,5,2,2,2,1
29.0,2,2,1,1,12,3,2,2,5,2,3,1,0
33.0,2,4,1,1,24,1,2,3,5,2,6,2,0
25.0,2,4,1,1,15,2,1,2,5,4,3,1,0
27.0,2,4,1,1,24,1,2,2,5,4,5,1,0
26.0,2,4,1,1,20,3,9,7,5,1,2,0,0
31.0,2,2,1,1,20,1,2,7,5,4,1,3,1
40.0,1,1,1,1,4,1,3,5,5,2,-1,0,0
29.0,2,4,1,1,18,3,9,1,5,1,2,1,4
18.0,2,1,1,1,15,5,-1,6,5,2,4,1,0
29.0,2,4,1,1,6,3,9,3,5,2,1,4,0
24.0,2,2,1,1,24,2,6,2,5,1,11,1,0
24.0,2,-1,1,1,18,1,9,2,5,4,-1,1,0
29.0,2,4,1,1,12,3,9,1,5,4,2,6,6
30.0,1,4,1,1,14,3,7,7,5,4,1,0,1
37.0,1,4,1,2,-1,1,3,7,5,1,1,4,0
28.0,2,4,1,1,11,1,9,1,5,1,-1,1,2
40.0,2,4,1,1,14,1,1,7,5,1,2,7,6
